,ts_code,symbol,name,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
0,000001.SZ,000001,平安银行,深圳,银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",主板,SZSE,CNY,L,19910403,,S
1,000002.SZ,000002,万科A,深圳,全国地产,万科企业股份有限公司,"China Vanke Co.,Ltd.",主板,SZSE,CNY,L,19910129,,S
2,000004.SZ,000004,国农科技,深圳,生物制药,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co.,Ltd.",主板,SZSE,CNY,L,19910114,,N
3,000005.SZ,000005,世纪星源,深圳,环境保护,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,主板,SZSE,CNY,L,19901210,,N
4,000006.SZ,000006,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",主板,SZSE,CNY,L,19920427,,S
5,000007.SZ,000007,全新好,深圳,酒店餐饮,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",主板,SZSE,CNY,L,19920413,,N
6,000008.SZ,000008,神州高铁,北京,运输设备,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",主板,SZSE,CNY,L,19920507,,S
7,000009.SZ,000009,中国宝安,深圳,综合类,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",主板,SZSE,CNY,L,19910625,,S
8,000010.SZ,000010,*ST美丽,深圳,建筑工程,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",主板,SZSE,CNY,L,19951027,,N
9,000011.SZ,000011,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,主板,SZSE,CNY,L,19920330,,N
10,000012.SZ,000012,南玻A,深圳,玻璃,中国南玻集团股份有限公司,"CSG Holding Co.,Ltd.",主板,SZSE,CNY,L,19920228,,S
11,000014.SZ,000014,沙河股份,深圳,全国地产,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",主板,SZSE,CNY,L,19920602,,N
12,000016.SZ,000016,深康佳A,深圳,家用电器,康佳集团股份有限公司,"Konka Group Co.,Ltd",主板,SZSE,CNY,L,19920327,,S
13,000017.SZ,000017,深中华A,深圳,文教休闲,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,主板,SZSE,CNY,L,19920331,,N
14,000018.SZ,000018,神城A退,,,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",主板,SZSE,CNY,L,19920616,,N
15,000019.SZ,000019,深粮控股,深圳,其他商业,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",主板,SZSE,CNY,L,19921012,,S
16,000020.SZ,000020,深华发A,深圳,元器件,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co.,Ltd.",主板,SZSE,CNY,L,19920428,,N
17,000021.SZ,000021,深科技,深圳,IT设备,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",主板,SZSE,CNY,L,19940202,,S
18,000023.SZ,000023,深天地A,深圳,其他建材,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co.,Ltd",主板,SZSE,CNY,L,19930429,,N
19,000025.SZ,000025,特力A,深圳,汽车服务,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd",主板,SZSE,CNY,L,19930621,,S
20,000026.SZ,000026,飞亚达A,深圳,其他商业,飞亚达(集团)股份有限公司,Fiyta Holdings Ltd.,主板,SZSE,CNY,L,19930603,,N
21,000027.SZ,000027,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",主板,SZSE,CNY,L,19930903,,S
22,000028.SZ,000028,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,主板,SZSE,CNY,L,19930809,,S
23,000029.SZ,000029,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate&Properties (Group).Co.,Ltd.",主板,SZSE,CNY,L,19930915,,S
24,000030.SZ,000030,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,主板,SZSE,CNY,L,19930929,,N
25,000031.SZ,000031,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co.,Ltd.",主板,SZSE,CNY,L,19931008,,S
26,000032.SZ,000032,深桑达A,深圳,元器件,深圳市桑达实业股份有限公司,"Shenzhen Sed Industry Co.,Ltd.",主板,SZSE,CNY,L,19931028,,N
27,000034.SZ,000034,神州数码,深圳,综合类,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",主板,SZSE,CNY,L,19940509,,S
28,000035.SZ,000035,中国天楹,江苏,环境保护,中国天楹股份有限公司,China Tianying Inc.,主板,SZSE,CNY,L,19940408,,S
29,000036.SZ,000036,华联控股,深圳,全国地产,华联控股股份有限公司,China Union Holdings Ltd.,主板,SZSE,CNY,L,19940617,,S
30,000037.SZ,000037,深南电A,深圳,火力发电,深圳南山热电股份有限公司,"Shenzhen Nanshan Power Co.,Ltd.",主板,SZSE,CNY,L,19940701,,N
31,000038.SZ,000038,深大通,深圳,广告包装,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",主板,SZSE,CNY,L,19940808,,N
32,000039.SZ,000039,中集集团,深圳,轻工机械,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd",主板,SZSE,CNY,L,19940408,,S
33,000040.SZ,000040,东旭蓝天,深圳,新型电力,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co., Ltd.",主板,SZSE,CNY,L,19940808,,S
34,000042.SZ,000042,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",主板,SZSE,CNY,L,19940921,,N
35,000045.SZ,000045,深纺织A,深圳,元器件,深圳市纺织(集团)股份有限公司,"Shenzhen Textile (Holdings) Co.,Ltd.",主板,SZSE,CNY,L,19940815,,N
36,000046.SZ,000046,泛海控股,北京,全国地产,泛海控股股份有限公司,"Oceanwide Holdings Co., Ltd.",主板,SZSE,CNY,L,19940912,,S
37,000048.SZ,000048,康达尔,深圳,饲料,深圳市康达尔(集团)股份有限公司,"Shenzhen Kondarl (Group) Co.,Ltd.",主板,SZSE,CNY,L,19941101,,N
38,000049.SZ,000049,德赛电池,深圳,电气设备,深圳市德赛电池科技股份有限公司,"Shenzhen Desay Battery Technology Co., Ltd.",主板,SZSE,CNY,L,19950320,,S
39,000050.SZ,000050,深天马A,深圳,元器件,天马微电子股份有限公司,"Tianma Microelectronics Co.,Ltd.",主板,SZSE,CNY,L,19950315,,S
40,000055.SZ,000055,方大集团,深圳,其他建材,方大集团股份有限公司,"China Fangda Group Co.,Ltd.",主板,SZSE,CNY,L,19960415,,N
41,000056.SZ,000056,皇庭国际,深圳,房产服务,深圳市皇庭国际企业股份有限公司,"Shenzhen Wongtee International Enterprise Co., Ltd.",主板,SZSE,CNY,L,19960708,,N
42,000058.SZ,000058,深赛格,深圳,元器件,深圳赛格股份有限公司,"Shenzhen Seg Co.,Ltd.",主板,SZSE,CNY,L,19961226,,N
43,000059.SZ,000059,华锦股份,辽宁,石油加工,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co.,Ltd",主板,SZSE,CNY,L,19970130,,S
44,000060.SZ,000060,中金岭南,深圳,铅锌,深圳市中金岭南有色金属股份有限公司,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,主板,SZSE,CNY,L,19970123,,S
45,000061.SZ,000061,农产品,深圳,农业综合,深圳市农产品集团股份有限公司,"Shenzhen Agricultural Products Group Co.,Ltd.",主板,SZSE,CNY,L,19970110,,S
46,000062.SZ,000062,深圳华强,深圳,批发业,深圳华强实业股份有限公司,"Shenzhen Huaqiang Industry Co.,Ltd",主板,SZSE,CNY,L,19970130,,S
47,000063.SZ,000063,中兴通讯,深圳,通信设备,中兴通讯股份有限公司,ZTE Corporation,主板,SZSE,CNY,L,19971118,,S
48,000065.SZ,000065,北方国际,北京,建筑工程,北方国际合作股份有限公司,NORINCO International Cooperation Ltd.,主板,SZSE,CNY,L,19980605,,S
