,stock_identity,name,enquiry_date,enquiry_topic,enquiry_title,exchange
61,000571.SZSE,*ST大洲,2020-03-26 00:00:00,关注函,CDD00057156816.pdf,SZSE
62,000897.SZSE,*ST津滨,2020-03-25 00:00:00,年报问询函,CDD00089756801.pdf,SZSE
63,000525.SZSE,红 太 阳,2020-03-24 00:00:00,关注函,CDD00052556811.pdf,SZSE
64,000150.SZSE,宜华健康,2020-03-23 00:00:00,关注函,CDD00015056805.pdf,SZSE
65,000909.SZSE,数源科技,2020-03-20 00:00:00,许可类重组问询函,CDD00090956798.pdf,SZSE
66,000603.SZSE,盛达资源,2020-03-20 00:00:00,年报问询函,CDD00060356784.pdf,SZSE
67,000628.SZSE,高新发展,2020-03-19 00:00:00,关注函,CDD00062856790.pdf,SZSE
68,000502.SZSE,绿景控股,2020-03-17 00:00:00,许可类重组问询函,CDD00050256768.pdf,SZSE
69,000571.SZSE,*ST大洲,2020-03-16 00:00:00,关注函,CDD00057156730.pdf,SZSE
70,000758.SZSE,中色股份,2020-03-16 00:00:00,许可类重组问询函,CDD00075856756.pdf,SZSE
71,000150.SZSE,宜华健康,2020-03-13 00:00:00,关注函,CDD00015056750.pdf,SZSE
72,000633.SZSE,合金投资,2020-03-13 00:00:00,非许可类重组问询函,CDD00063356743.pdf,SZSE
73,000007.SZSE,全新好,2020-03-12 00:00:00,关注函,CDD00000756739.pdf,SZSE
74,000691.SZSE,亚太实业,2020-03-12 00:00:00,非许可类重组问询函,CDD00069156733.pdf,SZSE
75,000048.SZSE,康达尔,2020-03-09 00:00:00,关注函,CDD00004856723.pdf,SZSE
76,000601.SZSE,韶能股份,2020-03-04 00:00:00,关注函,CDD00060156700.pdf,SZSE
77,000982.SZSE,*ST 中绒,2020-02-26 00:00:00,关注函,CDD00098256661.pdf,SZSE
78,000637.SZSE,茂化实华,2020-02-25 00:00:00,关注函,CDD00063756657.pdf,SZSE
79,000016.SZSE,深康佳Ａ,2020-02-23 00:00:00,关注函,CDD00001656653.pdf,SZSE
80,000038.SZSE,深大通,2020-02-14 00:00:00,关注函,CDD00003856612.pdf,SZSE
81,000890.SZSE,法 尔 胜,2020-02-11 00:00:00,非许可类重组问询函,CDD00089056603.pdf,SZSE
82,000662.SZSE,天夏智慧,2020-02-05 00:00:00,关注函,CDD00066256584.pdf,SZSE
83,000676.SZSE,智度股份,2020-02-05 00:00:00,关注函,CDD00067656582.pdf,SZSE
84,000697.SZSE,炼石航空,2020-02-05 00:00:00,关注函,CDD00069756577.pdf,SZSE
85,000803.SZSE,金宇车城,2020-02-05 00:00:00,许可类重组问询函,CDD00080356573.pdf,SZSE
86,000892.SZSE,欢瑞世纪,2020-02-03 00:00:00,关注函,CDD00089256557.pdf,SZSE
87,000606.SZSE,顺利办,2020-02-02 00:00:00,关注函,CDD00060656562.pdf,SZSE
88,000802.SZSE,北京文化,2020-02-02 00:00:00,关注函,CDD00080256564.pdf,SZSE
89,000981.SZSE,ST银亿,2020-02-01 00:00:00,关注函,CDD00098156561.pdf,SZSE
90,000687.SZSE,华讯方舟,2020-01-22 00:00:00,关注函,CDD00068756544.pdf,SZSE
91,000409.SZSE,ST地矿,2020-01-22 00:00:00,关注函,CDD00040956543.pdf,SZSE
92,000662.SZSE,天夏智慧,2020-01-22 00:00:00,关注函,CDD00066256551.pdf,SZSE
93,000637.SZSE,茂化实华,2020-01-22 00:00:00,关注函,CDD00063756505.pdf,SZSE
94,000818.SZSE,航锦科技,2020-01-22 00:00:00,关注函,CDD00081856519.pdf,SZSE
95,000509.SZSE,华塑控股,2020-01-22 00:00:00,关注函,CDD00050956531.pdf,SZSE
96,000758.SZSE,中色股份,2020-01-22 00:00:00,关注函,CDD00075856540.pdf,SZSE
97,000980.SZSE,众泰汽车,2020-01-22 00:00:00,关注函,CDD00098056521.pdf,SZSE
98,000701.SZSE,厦门信达,2020-01-22 00:00:00,关注函,CDD00070156532.pdf,SZSE
99,000892.SZSE,欢瑞世纪,2020-01-22 00:00:00,关注函,CDD00089256539.pdf,SZSE
100,000007.SZSE,全新好,2020-01-17 00:00:00,关注函,CDD00000756504.pdf,SZSE
101,000662.SZSE,天夏智慧,2020-01-16 00:00:00,关注函,CDD00066256502.pdf,SZSE
102,000662.SZSE,天夏智慧,2020-01-15 00:00:00,关注函,CDD00066256492.pdf,SZSE
103,000040.SZSE,东旭蓝天,2020-01-15 00:00:00,关注函,CDD00004056402.pdf,SZSE
104,000413.SZSE,东旭光电,2020-01-15 00:00:00,关注函,CDD00041356406.pdf,SZSE
105,000792.SZSE,*ST盐湖,2020-01-13 00:00:00,关注函,CDD00079256465.pdf,SZSE
106,000700.SZSE,模塑科技,2020-01-09 00:00:00,关注函,CDD00070056458.pdf,SZSE
107,000611.SZSE,*ST天首,2020-01-08 00:00:00,关注函,CDD00061156447.pdf,SZSE
108,000616.SZSE,海航投资,2020-01-07 00:00:00,关注函,CDD00061656438.pdf,SZSE
109,000971.SZSE,*ST高升,2020-01-06 00:00:00,关注函,CDD00097156428.pdf,SZSE
110,000587.SZSE,金洲慈航,2020-01-06 00:00:00,关注函,CDD00058756430.pdf,SZSE
111,000760.SZSE,*ST斯太,2020-01-05 00:00:00,关注函,CDD00076056419.pdf,SZSE
112,000571.SZSE,*ST大洲,2020-01-03 00:00:00,关注函,CDD00057156401.pdf,SZSE
113,000918.SZSE,嘉凯城,2019-12-31 00:00:00,关注函,CDD00091856377.pdf,SZSE
114,000426.SZSE,兴业矿业,2019-12-30 00:00:00,关注函,CDD00042656376.pdf,SZSE
115,000536.SZSE,华映科技,2019-12-30 00:00:00,关注函,CDD00053656375.pdf,SZSE
116,000576.SZSE,广东甘化,2019-12-29 00:00:00,关注函,CDD00057656371.pdf,SZSE
117,000829.SZSE,天音控股,2019-12-26 00:00:00,关注函,CDD00082956369.pdf,SZSE
118,000422.SZSE,ST宜化,2019-12-26 00:00:00,关注函,CDD00042256349.pdf,SZSE
119,000707.SZSE,ST双环,2019-12-26 00:00:00,关注函,CDD00070756354.pdf,SZSE
0,600599.SSE,熊猫金控,问询函,2020-05-15 22:00:01,关于对熊猫金控股份有限公司拟非公开发行股票相关信息披露的问询函,SSE
1,600360.SSE,华微电子,定期报告信息披露监管问询函,2020-05-15 21:30:01,关于吉林华微电子股份有限公司的定期报告信息披露监管问询函,SSE
2,600856.SSE,*ST中天,定期报告信息披露监管问询函,2020-05-15 17:50:01,关于长春中天能源股份有限公司的定期报告信息披露监管问询函,SSE
3,603669.SSE,灵康药业,定期报告信息披露监管问询函,2020-05-15 17:20:01,关于灵康药业集团股份有限公司的定期报告信息披露监管问询函,SSE
4,600053.SSE,九鼎投资,定期报告信息披露监管问询函,2020-05-15 17:10:02,关于昆吾九鼎投资控股股份有限公司的定期报告信息披露监管问询函,SSE
5,600311.SSE,*ST荣华,定期报告信息披露监管问询函,2020-05-15 17:10:02,关于甘肃荣华实业（集团）股份有限公司2019年年度报告的信息披露监管问询函,SSE
6,600596.SSE,新安股份,重大资产重组预案审核意见函,2020-05-14 18:20:01,关于浙江新安化工集团股份有限公司的重大资产重组预案审核意见函,SSE
7,600080.SSE,金花股份,定期报告信息披露监管问询函,2020-05-14 17:40:01,关于金花企业(集团)股份有限公司的定期报告信息披露监管问询函,SSE
8,600986.SSE,科达股份,定期报告信息披露监管问询函,2020-05-14 17:20:27,关于科达集团股份有限公司的定期报告信息披露监管问询函,SSE
9,600438.SSE,通威股份,定期报告信息披露监管问询函,2020-05-14 17:10:01,关于通威股份有限公司的2019年年度报告的信息披露监管问询函,SSE
10,600763.SSE,通策医疗,定期报告信息披露监管问询函,2020-05-13 17:10:23,关于通策医疗股份有限公司的定期报告信息披露监管问询函,SSE
11,600361.SSE,华联综超,定期报告信息披露监管问询函,2020-05-13 17:10:23,关于对北京华联综合超市股份有限公司2019年年度报告的信息披露监管问询函,SSE
12,603991.SSE,至正股份,定期报告信息披露监管问询函,2020-05-13 17:10:23,关于上海至正道化高分子材料股份有限公司的定期报告信息披露监管问询函,SSE
13,603895.SSE,天永智能,定期报告信息披露监管问询函,2020-05-12 21:20:01,关于上海天永智能装备股份有限公司的定期报告信息披露监管问询函,SSE
14,600069.SSE,*ST银鸽,问询函,2020-05-12 19:20:01,关于河南银鸽实业投资股份有限公司2019年年度报告的信息披露监管问询函,SSE
15,600077.SSE,宋都股份,定期报告信息披露监管问询函,2020-05-11 20:10:01,关于宋都基业投资股份有限公司的定期报告信息披露监管问询函,SSE
